,Country Name,year,GDP_USD,GDP_per_capita_USD
183,china,2018,13894800000000.0,9905.342004
184,germany,2018,3977290000000.0,47973.60762
185,uk,2018,2900790000000.0,43646.95197
186,india,2018,2702930000000.0,1998.259076
187,japan,2018,5037840000000.0,39727.1166
188,russia,2018,1657330000000.0,11287.36035
189,usa,2018,20527200000000.0,62805.25376
190,australia,2019,1391950000000.0,54875.28596
191,brazil,2019,1873290000000.0,8876.059836
192,canda,2019,1742020000000.0,46328.67184
193,china,2019,14279900000000.0,10143.8382
194,germany,2019,3888330000000.0,46794.89929
195,uk,2019,2878670000000.0,43070.49836
196,india,2019,2831550000000.0,2072.244897
197,japan,2019,5123320000000.0,40458.00188
198,russia,2019,1693110000000.0,11536.25098
199,usa,2019,21372600000000.0,65094.79943
200,australia,2020,1327840000000.0,51680.31652
201,brazil,2020,1448570000000.0,6814.875632
202,canda,2020,1645420000000.0,43258.26387
203,china,2020,14687700000000.0,10408.66976
204,germany,2020,3846410000000.0,46252.6893
205,uk,2020,2756900000000.0,41098.07865
206,india,2020,2667690000000.0,1933.101069
207,japan,2020,5040110000000.0,39918.16756
208,russia,2020,1488320000000.0,10161.98242
209,usa,2020,20893700000000.0,63027.67953
210,australia,2021,1542660000000.0,59934.12941
211,brazil,2021,1608980000000.0,7518.834284
212,canda,2021,1990760000000.0,52051.35146
213,china,2021,17734100000000.0,12556.33312
214,germany,2021,4223120000000.0,50801.78671
215,uk,2021,3186860000000.0,47334.35531
216,india,2021,3173400000000.0,2277.434347
217,japan,2021,4937420000000.0,39285.16311
218,russia,2021,1775800000000.0,12172.78516
219,usa,2021,22996100000000.0,69287.53659
